"d.hits","wk.hits","adj.d"
80,0,480
21,0,126
22,0,132
27,0,162
28,20,20
40,0,28.5714285714286
100,0,71.4285714285714
61,0,43.5714285714286
83,0,59.2857142857143
53,0,37.8571428571429
27,0,19.2857142857143
1,6,6
81,0,486
20,0,120
43,0,258
32,0,192
22,0,132
27,0,162
1,9,9
20,0,180
20,0,180
41,0,369
92,0,828
64,0,576
53,0,477
1,7,7
63,0,441
21,0,147
23,0,161
1,0,7
38,0,266
27,0,189
1,5,5
19,0,95
29,0,145
30,0,150
50,0,250
21,0,105
26,0,130
1,12,12
20,0,240
69,0,828
20,0,240
20,0,240
42,0,504
1,0,12
1,6,6
1,0,6
41,0,246
21,0,126
15,0,90
24,0,144
1,0,6
1,5,5
1,0,5
17,0,85
43,0,215
59,0,295
1,0,5
20,0,100
19,9,9
25,0,11.8421052631579
17,0,8.05263157894737
17,0,8.05263157894737
87,0,41.2105263157895
26,0,12.3157894736842
15,0,7.10526315789474
1,14,14
32,0,448
45,0,630
19,0,266
52,0,728
59,0,826
1,0,14
14,15,15
18,0,19.2857142857143
38,0,40.7142857142857
51,0,54.6428571428571
18,0,19.2857142857143
58,0,62.1428571428571
1,0,1.07142857142857
1,14,14
13,0,182
25,0,350
63,0,882
32,0,448
77,0,1078
15,0,210
30,14,14
19,0,8.86666666666667
25,0,11.6666666666667
25,0,11.6666666666667
38,0,17.7333333333333
33,0,15.4
1,0,0.466666666666667
1,17,17
73,0,1241
42,0,714
56,0,952
62,0,1054
38,0,646
30,0,510
1,21,21
24,0,504
49,0,1029
49,0,1029
100,0,2100
26,0,546
15,0,315
1,14,14
13,0,182
12,0,168
31,0,434
18,0,252
25,0,350
1,0,14
14,16,16
36,0,41.1428571428571
42,0,48
30,0,34.2857142857143
43,0,49.1428571428571
38,0,43.4285714285714
1,0,1.14285714285714
1,19,19
30,0,570
30,0,570
30,0,570
43,0,817
44,0,836
29,0,551
1,14,14
12,0,168
49,0,686
31,0,434
62,0,868
26,0,364
15,0,210
15,15,15
49,0,49
43,0,43
27,0,27
11,0,11
28,0,28
13,0,13
1,13,13
32,0,416
49,0,637
16,0,208
33,0,429
12,0,156
13,0,169
1,29,29
22,0,638
54,0,1566
60,0,1740
77,0,2233
100,0,2900
19,0,551
19,29,29
48,0,73.2631578947368
64,0,97.6842105263158
74,0,112.947368421053
43,0,65.6315789473684
45,0,68.6842105263158
38,0,58
1,18,18
53,0,954
26,0,468
37,0,666
54,0,972
28,0,504
13,0,234
13,21,21
59,0,95.3076923076923
54,0,87.2307692307692
38,0,61.3846153846154
37,0,59.7692307692308
39,0,63
1,0,1.61538461538462
13,14,14
43,0,46.3076923076923
31,0,33.3846153846154
27,0,29.0769230769231
59,0,63.5384615384615
33,0,35.5384615384615
13,0,14
1,24,24
11,0,264
26,0,624
79,0,1896
86,0,2064
34,0,816
1,0,24
13,21,21
44,0,71.0769230769231
37,0,59.7692307692308
55,0,88.8461538461539
33,0,53.3076923076923
39,0,63
1,0,1.61538461538462
1,24,24
27,0,648
48,0,1152
60,0,1440
55,0,1320
35,0,840
27,0,648
13,18,18
27,0,37.3846153846154
27,0,37.3846153846154
22,0,30.4615384615385
51,0,70.6153846153846
12,0,16.6153846153846
1,0,1.38461538461538
1,9,9
1,0,9
11,0,99
44,0,396
34,0,306
40,0,360
13,0,117
13,21,21
33,0,53.3076923076923
44,0,71.0769230769231
34,0,54.9230769230769
52,0,84
47,0,75.9230769230769
13,0,21
1,14,14
22,0,308
79,0,1106
40,0,560
23,0,322
12,0,168
14,0,196
1,29,29
23,0,667
11,0,319
64,0,1856
76,0,2204
71,0,2059
14,0,406
1,27,27
68,0,1836
62,0,1674
41,0,1107
94,0,2538
85,0,2295
14,0,378
1,23,23
14,0,322
25,0,575
35,0,805
47,0,1081
60,0,1380
1,0,23
1,21,21
30,0,630
100,0,2100
30,0,630
11,0,231
36,0,756
28,0,588
1,18,18
71,0,1278
59,0,1062
42,0,756
36,0,648
49,0,882
1,0,18
1,21,21
46,0,966
35,0,735
41,0,861
41,0,861
42,0,882
1,0,21
1,18,18
29,0,522
23,0,414
53,0,954
66,0,1188
12,0,216
14,0,252
14,15,15
36,0,38.5714285714286
30,0,32.1428571428571
18,0,19.2857142857143
13,0,13.9285714285714
31,0,33.2142857142857
1,0,1.07142857142857
14,16,16
49,0,56
31,0,35.4285714285714
25,0,28.5714285714286
76,0,86.8571428571428
26,0,29.7142857142857
44,0,50.2857142857143
1,14,14
12,0,168
31,0,434
30,0,420
11,0,154
59,0,826
1,0,14
1,11,11
34,0,374
17,0,187
11,0,121
56,0,616
46,0,506
1,0,11
14,24,24
25,0,42.8571428571429
27,0,46.2857142857143
66,0,113.142857142857
22,0,37.7142857142857
62,0,106.285714285714
20,0,34.2857142857143
13,15,15
24,0,27.6923076923077
30,0,34.6153846153846
24,0,27.6923076923077
1,0,1.15384615384615
25,0,28.8461538461538
21,0,24.2307692307692
1,17,17
23,0,391
30,0,510
35,0,595
18,0,306
37,0,629
15,0,255
14,10,10
12,0,8.57142857142857
41,0,29.2857142857143
30,0,21.4285714285714
30,0,21.4285714285714
12,0,8.57142857142857
29,0,20.7142857142857
1,15,15
24,0,360
29,0,435
12,0,180
65,0,975
54,0,810
43,0,645
14,12,12
55,0,47.1428571428571
24,0,20.5714285714286
71,0,60.8571428571429
18,0,15.4285714285714
18,0,15.4285714285714
14,0,12
14,15,15
35,0,37.5
35,0,37.5
48,0,51.4285714285714
100,0,107.142857142857
55,0,58.9285714285714
15,0,16.0714285714286
14,25,25
58,0,103.571428571429
34,0,60.7142857142857
58,0,103.571428571429
94,0,167.857142857143
31,0,55.3571428571429
21,0,37.5
14,28,28
59,0,118
66,0,132
75,0,150
33,0,66
42,0,84
14,0,28
14,22,22
39,0,61.2857142857143
44,0,69.1428571428571
64,0,100.571428571429
76,0,119.428571428571
72,0,113.142857142857
28,0,44
41,24,24
52,0,30.4390243902439
96,0,56.1951219512195
35,0,20.4878048780488
52,0,30.4390243902439
95,0,55.609756097561
21,0,12.2926829268293
34,16,16
35,0,16.4705882352941
65,0,30.5882352941176
63,0,29.6470588235294
21,0,9.88235294117647
32,0,15.0588235294118
13,0,6.11764705882353
1,25,25
42,0,1050
43,0,1075
33,0,825
39,0,975
40,0,1000
40,0,1000
1,22,22
25,0,550
37,0,814
38,0,836
66,0,1452
23,0,506
20,0,440
8,20,20
16,0,40
16,0,40
20,0,50
24,0,60
25,0,62.5
8,0,20
12,21,21
35,0,61.25
36,0,63
33,0,57.75
23,0,40.25
27,0,47.25
17,0,29.75
9,21,21
8,0,18.6666666666667
18,0,42
22,0,51.3333333333333
33,0,77
38,0,88.6666666666667
8,0,18.6666666666667
25,23,23
7,0,6.44
34,0,31.28
27,0,24.84
24,0,22.08
48,0,44.16
12,0,11.04
23,29,29
40,0,50.4347826086957
40,0,50.4347826086957
37,0,46.6521739130435
37,0,46.6521739130435
34,0,42.8695652173913
8,0,10.0869565217391
15,25,25
10,0,16.6666666666667
33,0,55
20,0,33.3333333333333
43,0,71.6666666666667
46,0,76.6666666666667
12,0,20
8,29,29
41,0,148.625
29,0,105.125
39,0,141.375
32,0,116
44,0,159.5
16,0,58
16,29,29
41,0,74.3125
39,0,70.6875
35,0,63.4375
55,0,99.6875
33,0,59.8125
15,0,27.1875
1,31,31
47,0,1457
32,0,992
51,0,1581
42,0,1302
67,0,2077
8,0,248
8,44,44
47,0,258.5
61,0,335.5
56,0,308
58,0,319
77,0,423.5
15,0,82.5
8,57,57
13,0,92.625
61,0,434.625
80,0,570
100,0,712.5
59,0,420.375
19,0,135.375
11,45,45
71,0,290.454545454545
82,0,335.454545454545
54,0,220.909090909091
73,0,298.636363636364
42,0,171.818181818182
11,0,45
11,26,26
30,0,70.9090909090909
36,0,85.0909090909091
42,0,99.2727272727273
41,0,96.9090909090909
52,0,122.909090909091
